City,Lat,Lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
kroya,-7.6331,109.2461,86.79,57,4,12.62,ID,1618900483
arraial do cabo,-22.9661,-42.0278,73.9,78,30,27.31,BR,1618900487
bengkulu,-3.8004,102.2655,83.5,72,68,6.29,ID,1618900504
rikitea,-23.1203,-134.9692,77.97,69,0,8.05,PF,1618900459
hobart,-42.8794,147.3294,48.0,81,75,18.41,AU,1618900492
ushuaia,-54.8,-68.3,39.2,93,20,3.44,AR,1618900514
mahebourg,-20.4081,57.7,84.2,74,75,3.44,MU,1618900521
mataura,-46.1927,168.8643,59.0,73,16,1.01,NZ,1618900465
sao desiderio,-12.3633,-44.9733,68.94,95,100,1.59,BR,1618900528
vao,-22.6667,167.4833,75.06,73,36,15.82,NC,1618900539
airai,-8.9266,125.4092,67.14,71,85,1.21,TL,1618900542
mar del plata,-38.0023,-57.5575,66.99,94,0,12.66,AR,1618900415
alofi,-19.0595,-169.9187,78.8,83,40,8.05,NU,1618900567
east london,-33.0153,27.9116,59.0,94,20,4.61,ZA,1618900329
castro,-24.7911,-50.0119,54.25,92,97,5.99,BR,1618900574
ambon,-3.6954,128.1814,89.6,66,40,8.05,ID,1618900594
codrington,-38.2667,141.9667,53.71,47,99,17.78,AU,1618900516
mandaguari,-23.5475,-51.6708,64.4,82,0,4.61,BR,1618900625
atuona,-9.8,-139.0333,81.07,70,65,17.76,PF,1618900629
punta arenas,-53.15,-70.9167,44.6,70,20,25.32,CL,1618900523
diego de almagro,-26.3667,-70.05,57.76,57,99,3.67,CL,1618900636
busselton,-33.65,115.3333,70.0,65,97,3.0,AU,1618900384
cruzeiro do sul,-29.5128,-51.9853,59.0,96,4,1.21,BR,1618900646
mount gambier,-37.8333,140.7667,53.6,54,40,19.57,AU,1618900661
hermanus,-34.4187,19.2345,62.01,77,3,5.99,ZA,1618900667
cape town,-33.9258,18.4232,62.01,77,0,6.91,ZA,1618900633
henties bay,-22.116,14.2845,82.99,37,2,3.0,NA,1618900702
pedro ii,-4.4247,-41.4586,65.43,98,100,1.88,BR,1618900477
neiafu,-18.65,-173.9833,80.6,74,20,9.22,TO,1618900708
luanda,-8.8368,13.2343,77.0,94,75,6.91,AO,1618900570
maltahohe,-24.8333,16.9833,66.56,30,0,10.31,NA,1618900743
cidreira,-30.1811,-50.2056,68.65,76,77,14.38,BR,1618900757
lodja,-3.4833,23.4333,70.14,98,100,4.36,CD,1618900785
katobu,-4.9408,122.5276,84.02,65,94,4.85,ID,1618900795
le port,-20.9373,55.2919,86.0,66,0,8.05,RE,1618900806
moron,-34.6534,-58.6198,66.99,87,0,5.99,AR,1618900688
port macquarie,-31.4333,152.9167,69.8,56,100,8.05,AU,1618900833
eirunepe,-6.6603,-69.8736,70.97,99,95,3.04,BR,1618900840
souillac,-20.5167,57.5167,84.2,74,75,3.44,MU,1618900642
huarmey,-10.0681,-78.1522,67.51,88,18,7.54,PE,1618900847
namibe,-15.1961,12.1522,82.09,73,40,2.46,AO,1618900567
carutapera,-1.195,-46.02,72.54,95,98,3.42,BR,1618900761
saint-philippe,-21.3585,55.7679,81.0,83,75,12.66,RE,1618900899
vaini,-21.2,-175.2,78.8,78,40,6.91,TO,1618900902
biak,-0.9131,122.8766,81.66,72,100,2.24,ID,1618900697
bluff,-46.6,168.3333,57.99,74,13,1.01,NZ,1618900923
nacala,-14.5428,40.6728,78.8,69,75,21.85,MZ,1618900926
avarua,-21.2078,-159.775,78.8,73,20,9.22,CK,1618900930
richards bay,-28.783,32.0377,71.85,81,52,14.18,ZA,1618900937
auki,-8.7676,160.7034,82.36,76,52,2.01,SB,1618900948
bredasdorp,-34.5322,20.0403,59.0,82,2,14.97,ZA,1618900955
geraldton,-28.7667,114.6,78.8,36,0,18.41,AU,1618900972
padang,-0.9492,100.3543,87.8,62,20,5.75,ID,1618900946
lebu,-37.6167,-73.65,57.79,88,100,14.16,CL,1618900809
saldanha,-33.0117,17.9442,60.8,72,0,4.03,ZA,1618900990
port alfred,-33.5906,26.891,66.15,77,100,21.09,ZA,1618900993
lorengau,-2.0226,147.2712,81.81,81,98,9.55,PG,1618901018
bom jesus da lapa,-13.255,-43.4181,68.67,95,73,2.75,BR,1618901021
tautira,-17.7333,-149.15,80.01,78,75,4.61,PF,1618900893
plettenberg bay,-34.0527,23.3716,63.97,77,49,6.98,ZA,1618901081
new norfolk,-42.7826,147.0587,48.0,66,100,3.0,AU,1618901095
sola,-13.8833,167.55,83.37,76,44,11.65,VU,1618901102
mareeba,-17.0,145.4333,75.99,94,40,4.61,AU,1618901105
benguela,-12.5763,13.4055,81.99,73,70,2.8,AO,1618901112
walvis bay,-22.9575,14.5053,82.99,37,0,3.0,NA,1618901119
cururupu,-1.8283,-44.8683,71.65,97,100,2.01,BR,1618901126
labuhan,-6.8844,112.2051,84.99,61,85,5.95,ID,1618901131
kavieng,-2.5744,150.7967,83.21,74,50,7.02,PG,1618901145
san jeronimo,-11.9472,-75.2829,44.35,88,100,0.38,PE,1618901148
santa maria,-29.6842,-53.8069,55.81,96,0,5.7,BR,1618901085
coihaique,-45.5752,-72.0662,42.24,94,100,2.15,CL,1618901162
tacuarembo,-31.7333,-55.9833,54.73,95,0,5.68,UY,1618901166
gamba,-2.65,10.0,76.6,82,100,5.01,GA,1618901187
galesong,-5.3166,119.3661,89.6,70,40,6.91,ID,1618901197
salinopolis,-0.6136,-47.3561,75.09,91,100,5.37,BR,1618900998
hithadhoo,-0.6,73.0833,83.03,64,95,4.65,MV,1618901232
sepuka,-4.75,34.5333,64.53,80,100,9.31,TZ,1618901235
esperance,-33.8667,121.9,64.4,82,75,10.36,AU,1618901246
frankfort,-27.2667,28.4833,59.16,57,2,12.91,ZA,1618901008
cap malheureux,-19.9842,57.6142,86.0,69,56,1.99,MU,1618901260
puerto ayora,-0.7393,-90.3518,75.99,97,100,1.01,EC,1618901270
makasar,-5.14,119.4221,89.6,70,40,6.91,ID,1618901213
trinidad,-14.8333,-64.9,71.37,98,84,2.35,BO,1618901281
mercedes,-34.6515,-59.4307,63.0,92,0,4.0,AR,1618901284
kaitangata,-46.2817,169.8464,52.84,77,100,2.1,NZ,1618901302
formosa,-26.1775,-58.1781,68.0,94,0,4.61,AR,1618901306
san rafael,-34.6177,-68.3301,68.41,70,76,9.6,AR,1618901312
durazno,-33.4131,-56.5006,55.85,96,0,8.88,UY,1618901319
aquiraz,-3.9014,-38.3911,77.0,94,0,2.3,BR,1618901337
taguatinga,-12.3857,-46.5711,67.84,95,33,0.4,BR,1618901351
puerto leguizamo,-0.1934,-74.7819,70.54,98,100,1.14,CO,1618901358
grand gaube,-20.0064,57.6608,86.0,67,67,5.01,MU,1618901372
maua,-23.6678,-46.4614,62.6,88,75,9.22,BR,1618901239
carnarvon,-24.8667,113.6333,81.01,42,0,20.47,AU,1618901234
touros,-5.1989,-35.4608,73.4,94,40,4.61,BR,1618901428
otane,-39.8833,176.6333,64.99,82,100,3.0,NZ,1618901438
luderitz,-26.6481,15.1594,79.18,41,0,7.58,NA,1618901456
mount isa,-20.7333,139.5,93.2,21,41,8.05,AU,1618901466
samarai,-10.6167,150.6667,83.66,76,100,11.5,PG,1618901494
ahipara,-35.1667,173.1667,64.26,95,51,5.55,NZ,1618901497
yeppoon,-23.1333,150.7333,78.8,53,48,12.66,AU,1618901533
daru,-9.0763,143.2092,82.78,78,31,6.87,PG,1618901536
kununurra,-15.7667,128.7333,93.2,24,45,6.91,AU,1618901547
isangel,-19.55,169.2667,84.2,84,75,6.31,VU,1618901557
bambous virieux,-20.3428,57.7575,86.0,74,75,3.44,MU,1618901561
banjar,-8.19,114.9675,86.0,66,20,10.36,ID,1618901564
talcahuano,-36.7167,-73.1167,59.0,77,90,12.66,CL,1618901568
karratha,-20.7377,116.8463,85.5,39,2,13.04,AU,1618901426
constitucion,-35.3333,-72.4167,55.78,85,89,13.73,CL,1618901613
inhambane,-23.865,35.3833,76.69,63,51,11.21,MZ,1618901471
ihosy,-22.4,46.1167,71.98,62,8,9.62,MG,1618901672
port elizabeth,-33.918,25.5701,64.4,77,0,14.97,ZA,1618901690
banjarmasin,-3.3244,114.591,91.4,55,40,5.75,ID,1618901714
dargaville,-35.9333,173.8833,64.06,94,100,9.04,NZ,1618901718
lufilufi,-13.8745,-171.5986,77.0,94,90,8.05,WS,1618901746
moindou,-21.6924,165.677,73.4,88,90,9.22,NC,1618901760
chokwe,-24.5333,32.9833,72.01,76,84,7.63,MZ,1618901771
belmonte,-15.8631,-38.8828,75.2,88,75,5.75,BR,1618901778
coolum beach,-26.5333,153.1,75.99,74,0,10.96,AU,1618901785
faanui,-16.4833,-151.75,82.58,70,19,15.55,PF,1618901805
chuy,-33.6971,-53.4616,64.13,83,0,9.22,UY,1618901809
kruisfontein,-34.0033,24.7314,64.0,74,99,4.0,ZA,1618901812
turangi,-39.0,175.9333,62.01,77,100,3.0,NZ,1618901826
kaeo,-35.1,173.7833,62.01,96,13,1.99,NZ,1618901833
ambilobe,-13.2,49.05,85.08,59,49,2.17,MG,1618901657
esmeraldas,-19.7625,-44.3139,66.2,82,0,8.05,BR,1618901858
sao joao da barra,-21.6403,-41.0511,68.74,93,15,7.87,BR,1618901865
poso,-1.3959,120.7524,85.15,65,92,4.92,ID,1618901872
santa isabel do rio negro,-0.4139,-65.0192,71.94,99,100,1.79,BR,1618901879
tete,-16.1564,33.5867,73.4,73,75,5.23,MZ,1618901886
warrnambool,-38.3833,142.4833,55.0,74,96,1.01,AU,1618901861
araguaina,-7.1911,-48.2072,69.53,95,100,1.79,BR,1618901900
namatanai,-3.6667,152.4333,83.82,73,97,3.58,PG,1618901924
quatre cocos,-20.2078,57.7625,84.99,74,75,3.44,MU,1618901707
caravelas,-17.7125,-39.2481,72.7,94,100,7.74,BR,1618901987
sampit,-2.5333,112.95,82.98,67,96,5.12,ID,1618901994
innisfail,-17.5333,146.0333,76.26,90,100,3.02,AU,1618901998
poum,-20.2333,164.0167,78.53,77,18,20.6,NC,1618902013
kualakapuas,-3.0091,114.3876,91.4,55,40,5.75,ID,1618902037
saint-pierre,-21.3393,55.4781,80.6,83,75,12.66,RE,1618902069
beloha,-25.1667,45.05,78.78,47,0,14.5,MG,1618902072
necochea,-38.5473,-58.7368,61.0,93,9,5.01,AR,1618901910
moerai,-22.4333,-151.3333,77.23,62,70,15.77,PF,1618902143
rawson,-43.3002,-65.1023,61.74,70,100,15.84,AR,1618902150
cooma,-36.2333,149.1333,57.2,44,90,14.97,AU,1618902195
rio grande,-32.035,-52.0986,66.99,86,47,16.15,BR,1618902018
sao gabriel da cachoeira,-0.1303,-67.0892,71.87,99,100,1.57,BR,1618902209
port lincoln,-34.7333,135.8667,58.32,52,6,13.18,AU,1618902237
mwense,-10.3845,28.698,70.77,70,100,7.52,ZM,1618902241
calama,-22.4667,-68.9333,42.8,36,0,16.11,CL,1618902244
zambezi,-13.5432,23.1047,67.82,60,39,9.66,ZM,1618902248
yulara,-25.2406,130.9889,78.8,17,0,5.75,AU,1618902269
opuwo,-18.0607,13.84,69.66,35,0,15.97,NA,1618902272
sao felix do xingu,-6.6447,-51.995,71.2,99,100,1.5,BR,1618902286
nguruka,-5.1092,31.0419,71.1,77,100,7.63,TZ,1618902290
sorong,-0.8833,131.25,82.04,75,100,8.16,ID,1618902307
xapuri,-10.6517,-68.5044,71.2,99,31,2.42,BR,1618902332
general roca,-39.0333,-67.5833,60.8,94,0,12.33,AR,1618902336
itarema,-2.9248,-39.9167,73.58,93,54,4.23,BR,1618902360
demba,-5.51,22.2667,69.58,97,100,0.56,CD,1618902381
comodoro rivadavia,-45.8667,-67.5,57.2,44,0,10.36,AR,1618902288
prainha,-1.8,-53.48,71.6,97,100,1.39,BR,1618902451
welkom,-27.9864,26.7066,63.0,61,6,4.0,ZA,1618902503
urucui,-7.2294,-44.5561,71.4,97,100,1.57,BR,1618902507
talara,-4.5772,-81.2719,71.28,77,81,12.48,PE,1618902514
boueni,-12.9025,45.0761,87.8,66,75,17.27,YT,1618902538
nelson bay,-32.7167,152.15,70.0,43,0,5.75,AU,1618902445
lima,-12.0432,-77.0282,69.01,88,0,4.61,PE,1618902289
mombaca,-5.7431,-39.6275,69.53,96,99,0.18,BR,1618902566
port hedland,-20.3167,118.5667,91.4,31,7,11.5,AU,1618902573
kramat,-8.1311,113.4499,85.03,59,23,7.58,ID,1618902577
tarata,-17.6167,-66.0167,57.2,77,20,3.44,BO,1618902590
inongo,-1.95,18.2667,73.45,92,100,9.08,CD,1618902629
dunedin,-45.8742,170.5036,55.0,89,100,1.01,NZ,1618902657
formosa do rio preto,-11.0483,-45.1931,68.34,94,100,2.26,BR,1618902674
